Id,Concept,Latin,Italian,Spanish,French,Romanian
1,I,ego:,i:-o,S-o,Z3,y(ew)
2,THOU,tu:,tu,tu,ti,tu
3,WE,no:s,noy,nos[otros],nu,noy
4,THIS,hoc,-Co,*esto,s3[si],[a]Ce[sta]
5,THAT,,,,,
6,WHO,,,,,
7,WHAT,,,,,
8,NOT,,,,,
9,ALL,,,,,
10,MANY,,,,,
11,ONE,,,,,
12,TWO,,,,,
13,BIG,,,,,
14,LONG,,,,,
15,SMALL,,,,,
16,WOMAN,,,,,
17,MAN,,,,,
18,PERSON,,,,,
19,FISH,,,,,
20,BIRD,,,,,
21,DOG,,,,,
22,LOUSE,,,,,
23,TREE,,,,,
24,SEED,,,,,
25,LEAF,,,,,
26,ROOT,,,,,
27,BARK,,,,,
28,SKIN,,,,,
29,FLESH,,,,,
30,BLOOD,,,,,
31,BONE,,,,,
32,FAT (ORGANIC SUBSTANCE),,,,,
33,EGG,,,,,
34,HORN (ANATOMY),,,,,
35,TAIL,,,,,
36,FEATHER,,,,,
37,HAIR,,,,,
38,HEAD,,,,,
39,EAR,,,,,
40,EYE,,,,,
41,NOSE,,,,,
42,MOUTH,,,,,
43,TOOTH,,,,,
44,TONGUE,,,,,
45,CLAW,,,,,
46,FOOT,,,,,
47,KNEE,,,,,
48,HAND,,,,,
49,BELLY,,,,,
50,NECK,,,,,
51,BREAST,,,,,
52,HEART,,,,,
53,LIVER,,,,,
54,DRINK,,,,,
55,EAT,,,,,
56,BITE,,,,,
57,SEE,,,,,
58,HEAR,,,,,
59,KNOW (SOMETHING),,,,,
60,SLEEP,,,,,
61,DIE,,,,,
62,KILL,,,,,
63,SWIM,,,,,
64,FLY (MOVE THROUGH AIR),,,,,
65,WALK,,,,,
66,COME,,,,,
67,LIE (REST),,,,,
68,SIT,,,,,
69,STAND,,,,,
70,GIVE,,,,,
71,SAY,,,,,
72,SUN,,,,,
73,MOON,,,,,
74,STAR,,,,,
75,WATER,,,,,
76,RAINING OR RAIN,,,,,
77,STONE,,,,,
78,SAND,,,,,
79,EARTH (SOIL),,,,,
80,CLOUD,,,,,
81,SMOKE (EXHAUST),,,,,
82,FIRE,,,,,
83,ASH,,,,,
84,BURN,,,,,
85,PATH,,,,,
86,MOUNTAIN,,,,,
87,RED,,,,,
88,GREEN,,,,,
89,YELLOW,,,,,
90,WHITE,,,,,
91,BLACK,,,,,
92,NIGHT,,,,,
93,HOT,,,,,
94,COLD,,,,,
95,FULL,,,,,
96,NEW,,,,,
97,GOOD,,,,,
98,ROUND,,,,,
99,DRY,,,,,
100,NAME,,,,,
