confidence,description,domainelement_pk,frequency,id,jsondata,loan,markup_description,name,pk,valueset_pk
,,,,SPANISH-1-1,{},False,,yo,193067,172526
,,,,SPANISH-2-1,{},False,,ustet,193068,172527
,,,,SPANISH-2-2,{},False,,tu,193069,172527
,,,,SPANISH-3-1,{},False,,nosotros,193070,172528
,,,,SPANISH-4-1,{},False,,este,193071,172529
,,,,SPANISH-5-1,{},False,,ese,193072,172530
,,,,SPANISH-5-2,{},False,,akely~a,193073,172530
,,,,SPANISH-6-1,{},False,,kien,193074,172531
,,,,SPANISH-7-1,{},False,,ke,193075,172532
,,,,SPANISH-8-1,{},False,,no,193076,172533
,,,,SPANISH-9-1,{},False,,todos,193077,172534
,,,,SPANISH-10-1,{},False,,muCos,193078,172535
,,,,SPANISH-11-1,{},False,,uno,193079,172536
,,,,SPANISH-12-1,{},False,,dos,193080,172537
,,,,SPANISH-13-1,{},False,,grande,193081,172538
,,,,SPANISH-14-1,{},False,,largo,193082,172539
,,,,SPANISH-15-1,{},False,,peke5o,193083,172540
,,,,SPANISH-15-2,{},False,,Ciko,193084,172540
,,,,SPANISH-16-1,{},False,,muher,193085,172541
,,,,SPANISH-17-1,{},False,,ombre,193086,172542
,,,,SPANISH-18-1,{},False,,persona,193087,172543
,,,,SPANISH-19-1,{},False,,peskado,193088,172544
,,,,SPANISH-19-2,{},False,,pes,193089,172544
,,,,SPANISH-20-1,{},False,,ave,193090,172545
,,,,SPANISH-20-2,{},False,,paharo,193091,172545
,,,,SPANISH-21-1,{},False,,pero,193092,172546
,,,,SPANISH-22-1,{},False,,pioho,193093,172547
,,,,SPANISH-23-1,{},False,,arbol,193094,172548
,,,,SPANISH-23-2,{},False,,palo,193095,172548
,,,,SPANISH-24-1,{},False,,semiya,193096,172549
,,,,SPANISH-25-1,{},False,,oha,193097,172550
,,,,SPANISH-26-1,{},False,,rais,193098,172551
,,,,SPANISH-27-1,{},False,,kortesa,193099,172552
,,,,SPANISH-27-2,{},False,,kaskara,193100,172552
,,,,SPANISH-28-1,{},False,,piel,193101,172553
,,,,SPANISH-29-1,{},False,,karne,193102,172554
,,,,SPANISH-30-1,{},False,,sangre,193103,172555
,,,,SPANISH-31-1,{},False,,weso,193104,172556
,,,,SPANISH-32-1,{},False,,grasa,193105,172557
,,,,SPANISH-33-1,{},False,,wevo,193106,172558
,,,,SPANISH-34-1,{},False,,kw~erno,193107,172559
,,,,SPANISH-35-1,{},False,,kola,193108,172560
,,,,SPANISH-35-2,{},False,,rabo,193109,172560
,,,,SPANISH-36-1,{},False,,pluma,193110,172561
,,,,SPANISH-37-1,{},False,,pelo,193111,172562
,,,,SPANISH-37-2,{},False,,kabeyo,193112,172562
,,,,SPANISH-38-1,{},False,,kabesa,193113,172563
,,,,SPANISH-39-1,{},False,,oreha,193114,172564
,,,,SPANISH-40-1,{},False,,oho,193115,172565
,,,,SPANISH-41-1,{},False,,naris,193116,172566
,,,,SPANISH-42-1,{},False,,boka,193117,172567
,,,,SPANISH-43-1,{},False,,diente,193118,172568
,,,,SPANISH-44-1,{},False,,lengw~a,193119,172569
,,,,SPANISH-45-1,{},False,,gara,193120,172570
,,,,SPANISH-46-1,{},False,,pie,193121,172571
,,,,SPANISH-46-2,{},False,,pata,193122,172571
,,,,SPANISH-47-1,{},False,,rodiya,193123,172572
,,,,SPANISH-48-1,{},False,,mano,193124,172573
,,,,SPANISH-49-1,{},False,,bariga,193125,172574
,,,,SPANISH-50-1,{},False,,kw~eyo,193126,172575
,,,,SPANISH-50-2,{},False,,peskw~eso,193127,172575
,,,,SPANISH-51-1,{},False,,peCo,193128,172576
,,,,SPANISH-51-2,{},False,,seno,193129,172576
,,,,SPANISH-52-1,{},False,,korason,193130,172577
