confidence,description,domainelement_pk,frequency,id,jsondata,loan,markup_description,name,pk,valueset_pk
,,,,FRENCH-1-1,{},False,,j3,190645,170311
,,,,FRENCH-2-1,{},False,,ti,190646,170312
,,,,FRENCH-2-2,{},False,,vu,190647,170312
,,,,FRENCH-3-1,{},False,,nu,190648,170313
,,,,FRENCH-4-1,{},False,,s3si,190649,170314
,,,,FRENCH-5-1,{},False,,s3la,190650,170315
,,,,FRENCH-6-1,{},False,,ki,190651,170316
,,,,FRENCH-7-1,{},False,,kwa,190652,170317
,,,,FRENCH-8-1,{},False,,n3 pa,190653,170318
,,,,FRENCH-9-1,{},False,,tu,190654,170319
,,,,FRENCH-10-1,{},False,,boku,190655,170320
,,,,FRENCH-11-1,{},False,,oe*,190656,170321
,,,,FRENCH-12-1,{},False,,de,190657,170322
,,,,FRENCH-13-1,{},False,,gra*,190658,170323
,,,,FRENCH-14-1,{},False,,lo*,190659,170324
,,,,FRENCH-15-1,{},False,,p3ti,190660,170325
,,,,FRENCH-16-1,{},False,,fam,190661,170326
,,,,FRENCH-17-1,{},False,,om,190662,170327
,,,,FRENCH-18-1,{},False,,om,190663,170328
,,,,FRENCH-19-1,{},False,,pw~aso*,190664,170329
,,,,FRENCH-20-1,{},False,,wazo,190665,170330
,,,,FRENCH-21-1,{},False,,Sia*,190666,170331
,,,,FRENCH-22-1,{},False,,pu,190667,170332
,,,,FRENCH-23-1,{},False,,arbr3,190668,170333
,,,,FRENCH-24-1,{},False,,gran,190669,170334
,,,,FRENCH-25-1,{},False,,f3y,190670,170335
,,,,FRENCH-26-1,{},False,,rasin,190671,170336
,,,,FRENCH-27-1,{},False,,ekors,190672,170337
,,,,FRENCH-28-1,{},False,,po,190673,170338
,,,,FRENCH-29-1,{},False,,vy~a*d,190674,170339
,,,,FRENCH-30-1,{},False,,sa*,190675,170340
,,,,FRENCH-31-1,{},False,,os,190676,170341
,,,,FRENCH-32-1,{},False,,grais,190677,170342
,,,,FRENCH-33-1,{},False,,3f,190678,170343
,,,,FRENCH-34-1,{},False,,korn,190679,170344
,,,,FRENCH-35-1,{},False,,ke,190680,170345
,,,,FRENCH-36-1,{},False,,ply~m,190681,170346
,,,,FRENCH-37-1,{},False,,S3ve,190682,170347
,,,,FRENCH-38-1,{},False,,t3t,190683,170348
,,,,FRENCH-39-1,{},False,,ore,190684,170349
,,,,FRENCH-40-1,{},False,,3y,190685,170350
,,,,FRENCH-41-1,{},False,,ne,190686,170351
,,,,FRENCH-42-1,{},False,,buS,190687,170352
,,,,FRENCH-43-1,{},False,,da*,190688,170353
,,,,FRENCH-44-1,{},False,,la*g,190689,170354
,,,,FRENCH-45-1,{},False,,o*gl,190690,170355
