confidence,description,domainelement_pk,frequency,id,jsondata,loan,markup_description,name,pk,valueset_pk
,,,,ITALIAN-1-1,{},False,,io,191021,170659
,,,,ITALIAN-2-1,{},False,,tu,191022,170660
,,,,ITALIAN-3-1,{},False,,noi,191023,170661
,,,,ITALIAN-11-1,{},False,,uno,191024,170662
,,,,ITALIAN-12-1,{},False,,due,191025,170663
,,,,ITALIAN-18-1,{},False,,persona,191026,170664
,,,,ITALIAN-19-1,{},False,,peSe,191027,170665
,,,,ITALIAN-21-1,{},False,,kane,191028,170666
,,,,ITALIAN-22-1,{},False,,pidokkyo,191029,170667
,,,,ITALIAN-23-1,{},False,,albero,191030,170668
,,,,ITALIAN-25-1,{},False,,foLa,191031,170669
,,,,ITALIAN-28-1,{},False,,pElle,191032,170670
,,,,ITALIAN-30-1,{},False,,saNgwe,191033,170671
,,,,ITALIAN-31-1,{},False,,osso,191034,170672
,,,,ITALIAN-34-1,{},False,,korno,191035,170673
,,,,ITALIAN-39-1,{},False,,orekkyo,191036,170674
,,,,ITALIAN-40-1,{},False,,okkyo,191037,170675
,,,,ITALIAN-41-1,{},False,,naso,191038,170676
,,,,ITALIAN-43-1,{},False,,dante,191039,170677
,,,,ITALIAN-44-1,{},False,,liNgwa,191040,170678
,,,,ITALIAN-47-1,{},False,,jinokkyo,191041,170679
,,,,ITALIAN-48-1,{},False,,mano,191042,170680
,,,,ITALIAN-51-1,{},False,,pEtto,191043,170681
,,,,ITALIAN-53-1,{},False,,fegato,191044,170682
,,,,ITALIAN-54-1,{},False,,bere,191045,170683
,,,,ITALIAN-57-1,{},False,,ved,191046,170684
,,,,ITALIAN-58-1,{},False,,ud,191047,170685
,,,,ITALIAN-61-1,{},False,,mor,191048,170686
,,,,ITALIAN-66-1,{},False,,vEn,191049,170687
,,,,ITALIAN-72-1,{},False,,sole,191050,170688
,,,,ITALIAN-74-1,{},False,,stella,191051,170689
,,,,ITALIAN-75-1,{},False,,akwa,191052,170690
,,,,ITALIAN-77-1,{},False,,pyEtra,191053,170691
,,,,ITALIAN-82-1,{},False,,fwoko,191054,170692
,,,,ITALIAN-85-1,{},False,,sentyEro,191055,170693
,,,,ITALIAN-86-1,{},False,,monta5a,191056,170694
,,,,ITALIAN-92-1,{},False,,notte,191057,170695
,,,,ITALIAN-95-1,{},False,,pyEno,191058,170696
,,,,ITALIAN-96-1,{},False,,nwovo,191059,170697
,,,,ITALIAN-100-1,{},False,,nome,191060,170698
