confidence,description,domainelement_pk,frequency,id,jsondata,loan,markup_description,name,pk,valueset_pk
,,,,LATIN-1-1,{},False,,ego,191311,170917
,,,,LATIN-2-1,{},False,,tu,191312,170918
,,,,LATIN-3-1,{},False,,nos,191313,170919
,,,,LATIN-11-1,{},False,,unus,191314,170920
,,,,LATIN-12-1,{},False,,duo,191315,170921
,,,,LATIN-18-1,{},False,,persona,191316,170922
,,,,LATIN-18-2,{},False,,homo,191317,170922
,,,,LATIN-19-1,{},False,,piskis,191318,170923
,,,,LATIN-21-1,{},False,,kanis,191319,170924
,,,,LATIN-22-1,{},False,,pedikulus,191320,170925
,,,,LATIN-23-1,{},False,,arbor,191321,170926
,,,,LATIN-25-1,{},False,,foly~u*,191322,170927
,,,,LATIN-28-1,{},False,,kutis,191323,170928
,,,,LATIN-30-1,{},False,,saNgw~is,191324,170929
,,,,LATIN-31-1,{},False,,os,191325,170930
,,,,LATIN-34-1,{},False,,kornu,191326,170931
,,,,LATIN-39-1,{},False,,auris,191327,170932
,,,,LATIN-40-1,{},False,,okulus,191328,170933
,,,,LATIN-41-1,{},False,,nasus,191329,170934
,,,,LATIN-43-1,{},False,,dens,191330,170935
,,,,LATIN-44-1,{},False,,liNgw~E,191331,170936
,,,,LATIN-47-1,{},False,,genu,191332,170937
,,,,LATIN-48-1,{},False,,manus,191333,170938
,,,,LATIN-51-1,{},False,,pektus,191334,170939
,,,,LATIN-51-2,{},False,,mama,191335,170939
,,,,LATIN-53-1,{},False,,yekur,191336,170940
,,,,LATIN-54-1,{},False,,bibere,191337,170941
,,,,LATIN-57-1,{},False,,widere,191338,170942
,,,,LATIN-58-1,{},False,,audire,191339,170943
,,,,LATIN-61-1,{},False,,mori,191340,170944
,,,,LATIN-66-1,{},False,,wenire,191341,170945
,,,,LATIN-72-1,{},False,,sol,191342,170946
,,,,LATIN-74-1,{},False,,stela,191343,170947
,,,,LATIN-75-1,{},False,,akw~a,191344,170948
,,,,LATIN-77-1,{},False,,lapis,191345,170949
,,,,LATIN-82-1,{},False,,iNnis,191346,170950
,,,,LATIN-85-1,{},False,,viya,191347,170951
,,,,LATIN-86-1,{},False,,mons,191348,170952
,,,,LATIN-92-1,{},False,,noks,191349,170953
,,,,LATIN-95-1,{},False,,plenus,191350,170954
,,,,LATIN-96-1,{},False,,nowus,191351,170955
,,,,LATIN-100-1,{},False,,nomen,191352,170956
